3900,1725.81,1.1168,0.0500,86.0,94.4
3950,1668.24,1.1751,0.0500,80.0,92.6
4000,1605.61,1.2167,0.0500,73.0,90.4
4050,1659.02,1.1305,0.0500,79.0,92.3
4100,1669.70,1.1603,0.0500,80.0,92.8
4150,1639.24,1.1665,0.0500,76.0,91.4
4200,1673.24,1.2070,0.0500,80.0,92.3
4250,1691.73,1.1575,0.0500,83.0,92.6
4300,1563.95,1.2654,0.0500,70.0,88.5
4350,1515.64,1.2939,0.0500,65.0,87.5
4400,1648.26,1.1807,0.0500,78.0,91.9
4450,1670.99,1.2004,0.0500,80.0,92.8
4500,1631.83,1.1388,0.0500,74.0,91.8
4550,1692.51,1.1169,0.0500,79.0,93.6
4600,1664.38,1.1092,0.0500,80.0,92.4
4650,1652.46,1.1183,0.0500,80.0,92.6
4700,1664.04,1.1529,0.0500,79.0,92.8
4750,1646.53,1.1576,0.0500,76.0,92.1
4800,1646.59,1.1911,0.0500,76.0,92.3
4850,1638.47,1.1877,0.0500,76.0,91.5
4900,1655.37,1.1342,0.0500,79.0,92.0
4950,1535.73,1.1632,0.0500,68.0,87.9
5000,1554.87,1.2292,0.0500,70.0,89.0
5050,1616.59,1.2502,0.0500,77.0,91.4
5100,1595.35,1.2954,0.0500,74.0,90.6
5150,1622.03,1.2479,0.0500,77.0,91.0
5200,1611.02,1.2766,0.0500,77.0,90.3
5250,1602.54,1.3051,0.0500,76.0,90.2
5300,1624.70,1.2762,0.0500,78.0,90.9
5350,1531.67,1.2876,0.0500,70.0,87.2
5400,1527.77,1.2656,0.0500,70.0,87.3
5450,1653.42,1.1417,0.0500,81.0,92.8
5500,1699.62,1.1909,0.0500,85.0,94.3
5550,1720.51,1.1792,0.0500,87.0,94.9
5600,1658.12,1.1707,0.0500,82.0,93.1
5650,1567.53,1.1933,0.0500,73.0,90.0
5700,1552.90,1.2844,0.0500,69.0,88.6
5750,1581.64,1.2602,0.0500,71.0,89.5
5800,1616.32,1.2509,0.0500,75.0,91.2
5850,1647.60,1.2056,0.0500,79.0,92.4
5900,1670.28,1.1846,0.0500,82.0,93.2
5950,1659.64,1.1676,0.0500,79.0,92.5
6000,1671.31,1.2227,0.0500,80.0,92.8
6050,1716.21,1.1512,0.0500,85.0,93.9
6100,1658.43,1.1563,0.0500,79.0,92.0
6150,1551.91,1.2110,0.0500,71.0,88.7
6200,1568.74,1.1899,0.0500,73.0,89.1
6250,1616.83,1.1663,0.0500,76.0,90.6
6300,1639.54,1.1963,0.0500,77.0,91.4
6350,1629.64,1.1728,0.0500,76.0,91.0
6400,1639.56,1.1992,0.0500,78.0,91.3
6450,1674.94,1.2191,0.0500,81.0,93.1
6500,1700.90,1.1416,0.0500,84.0,94.0
6550,1731.81,1.0920,0.0500,87.0,94.8
6600,1638.11,1.1121,0.0500,78.0,91.9
